iter	RMSE
634	43.52937885
635	43.51537915
636	43.50104297
637	43.48943837
638	43.47905453
639	43.4682314
640	43.45484926
641	43.44659627
642	43.43701883
643	43.42800943
644	43.41138675
645	43.39794428
646	43.38816744
647	43.37627725
648	43.35945887
649	43.34632808
650	43.33759595
651	43.33189904
652	43.31663381
653	43.30570196
654	43.28745097
655	43.27368791
656	43.26574822
657	43.24695654
658	43.23314069
659	43.22341392
660	43.21032689
661	43.19466592
662	43.1858183
663	43.18030389
664	43.17170447
665	43.16122637
666	43.14715645
667	43.13429184
668	43.12589918
669	43.11310096
670	43.09873281
671	43.09105996
672	43.07767253
673	43.06932942
674	43.04644877
675	43.03954065
676	43.03219231
677	43.01479036
678	43.00808272
679	42.99226231
680	42.98419675
681	42.96864948
682	42.9597944
683	42.94921587
684	42.93892558
685	42.93097908
686	42.91632535
687	42.90717128
688	42.89476187
689	42.88052536
690	42.87103284
691	42.86277404
692	42.85368762
693	42.84454433
694	42.82877684
695	42.81451039
696	42.80484447
697	42.78879434
698	42.77434873
699	42.76200643
700	42.74961621
701	42.73789381
702	42.72908002
703	42.71891559
704	42.71075401
705	42.7014728
706	42.68779228
707	42.67096165
708	42.65957607
709	42.64953132
710	42.64194255
711	42.63296424
712	42.61891496
713	42.60856788
714	42.59522946
715	42.58943403
716	42.58109423
717	42.56693425
718	42.55630347
719	42.54969295
720	42.53625691
721	42.52590483
722	42.51298189
723	42.50460095
724	42.4897472
725	42.48431606
726	42.47767968
727	42.4683218
728	42.46294992
729	42.45455076
730	42.44574509
731	42.42980012
732	42.41721789
733	42.40372325
734	42.38642931
735	42.38186669
736	42.37216447
737	42.36608517
738	42.35198883
739	42.34117811
740	42.32988786
741	42.31969213
742	42.31050511
743	42.29785594
744	42.28918529
745	42.27618201
746	42.2664667
747	42.25988263
748	42.24678569
749	42.2355965
750	42.22119869
751	42.21346661
752	42.20583924
753	42.19665646
754	42.18856766
755	42.17467352
756	42.16810744
757	42.15064688
758	42.14146297
759	42.12975083
760	42.11843947
761	42.10665649
762	42.09322707
763	42.08053619
764	42.06812206
765	42.053978
766	42.04832935
767	42.03560204
768	42.02381362
769	42.01615273
770	42.00900685
771	41.99576647
772	41.98387893
773	41.97505848
774	41.96506813
775	41.95714476
776	41.94418031
777	41.93249416
778	41.92551403
779	41.91077001
780	41.90235844
781	41.8888532
782	41.88290056
783	41.86867327
784	41.85800196
785	41.85218337
786	41.84183755
787	41.83580384
788	41.82681976
789	41.80980595
790	41.79938961
791	41.78606477
792	41.76988347
793	41.76022049
794	41.74944048
795	41.7389225
796	41.72958787
797	41.71850252
798	41.70993151
799	41.69571183
800	41.68840823
801	41.67391934
802	41.66342787
803	41.64604975
804	41.63650442
805	41.62873717
806	41.61191725
807	41.6012455
808	41.59414516
809	41.58691999
810	41.57856076
811	41.56475415
812	41.55013153
813	41.53754012
814	41.52893354
815	41.52241083
816	41.51923573
817	41.50599411
818	41.50115029
819	41.49623058
820	41.4844365
821	41.47565284
822	41.4637722
823	41.45803731
824	41.4444714
825	41.43697764
826	41.42766667
827	41.41514166
828	41.40149674
829	41.3943383
830	41.38525718
831	41.37606596
832	41.36721607
833	41.3571876
834	41.35218109
835	41.34430905
836	41.33511372
837	41.32140578
838	41.31292089
839	41.29770812
840	41.28811097
841	41.27732379
842	41.26759938
843	41.25781851
844	41.24984908
845	41.23898142
846	41.23092913
847	41.22484772
848	41.21116258
849	41.20175115
850	41.1893017
851	41.18313657
852	41.17734731
853	41.16994962
854	41.15665555
855	41.13970616
856	41.12812372
857	41.11716714
858	41.10842133
859	41.09859076
860	41.08786954
861	41.08007563
862	41.06906393
863	41.06320907
864	41.05469015
865	41.04424069
866	41.03356025
867	41.02315877
868	41.01078734
